10 Cyclopean Visors|Checkpoint|Portcullis|Laser Grid
200 Mysterious Chemical|200 Synthetic Chemical|200 Chemical P|Mysterious Synthoid
200 Radioactive Chemical|200 Synthetic Chemical|200 Chemical R|Radioactive Synthoid
200 Unearthly Chemical|200 Synthetic Chemical|200 Chemical Y|Unearthly Synthoid
Challenge Crown|Dried Leaf Crown|Oceanic Crown|TXMom's Crown
2 Stretched Canvas|4 Nightmare Devil Wings|8 Steampunk Gearbox|Da Vinci Wings
Transmog Crystal|Wizard's Staff|20 Emerald Block|Emerald Staff
Spiked Collar|20 Limb Connector|20 Flaming Horse Chunk|Flaming Horsie
20 Synthetic Chemical|200 Mysterious Chemical|200 Radioactive Chemical|Burning Hands
Transmog Crystal|Devil Wings|20 Innie Block|Inside-Out Devil Wings
Steel Axe Handle|2 Grip Tape|100 Emerald Shard|Emerald Pickaxe
Riding Chicken|Bridle Design|2 Dear John Tractor|Chicken Plow
200 Rune Stones|Dragon Soul|10 Plate Mails|Dragon Knight's Chestplate
200 Rune Stones|Dragon Soul|10 pairs of Plate Greaves|Dragon Knight's Greaves
200 Rune Stones|Dragon Soul|10 Knight Helmets|Dragon Knight's Helm
200 Rune Stones|Dragon Soul|10 pairs Zombie-Stompin' Boots|Dragon Knight's Sabatons
200 Rune Stones|Dragon Soul|50 Stone Spears|Dragon Knight's Spear
Growmoji Grow|Growmoji Punch|LordStar Environment Mask|Growmoji Face Mask
20 Acid-Washed Skinny Jeans|10 Manhole Covers|5 Celestial Halos|Holy Jeans
20 Super Cape - Blue|100 Glowy Blocks|100 Digital Dirts|Glowy Cape
20 Growmoji Smile Blocks|Crystallized Reality|10 Red Hairs|Buddy's Block Head
7 Steel Blocks|20 Red Wood Walls|2 Rock Hammers|Anomalizing Reliable Hammer
7 Steel Blocks|20 Red Wood Walls|2 Explorer's Shovels|Anomalizing Reliable Trowel
20 Steel Blocks|40 Red Wood Walls|2 Fishing Rods|Reliable Anomarod
7 Steel Blocks|20 Red Wood Walls|2 Pitchforks|Anomalizing Reliable Scythe
7 Steel Blocks|20 Red Wood Walls|2 Rock Chisels|Anomalizing Reliable Cultivator
7 Steel Blocks|20 Red Wood Walls|2 Surgical Scalpels|Anomalizing Reliable Bone Saw
7 Steel Blocks|20 Red Wood Walls|2 Ze Goggles|Anomalizing Reliable Scanner
10 Anomalizing Pristine Hammers|5 Golden Blocks|5 Steel Blocks|Exquisite Hammer
10 Anomalizing Pristine Trowels|5 Golden Blocks|5 Steel Blocks|Exquisite Trowel
10 Pristine Anomarods|5 Golden Blocks|5 Steel Blocks|Exquisite Anomarod
10 Anomalizing Pristine Scythes|5 Golden Blocks|5 Steel Blocks|Exquisite Scythe
10 Anomalizing Pristine Cultivators|5 Golden Blocks|5 Steel Blocks|Exquisite Cultivator
10 Anomalizing Pristine Bone Saws|5 Golden Blocks|5 Steel Blocks|Exquisite Bone Saw
10 Anomalizing Pristine Rolling Pins|5 Golden Blocks|5 Steel Blocks|Exquisite Rolling Pin
10 Anomalizing Pristine Scanners|5 Golden Blocks|5 Steel Blocks|Exquisite Scanner
Crystal Gate|5 Water Essence|20 Earth Essence|Verdant Gate
Crystal Gate|5 Earth Essence|20 Fire Essence|Inferno Gate
Crystal Gate|5 Fire Essence|20 Wind Essence|Typhoon Gate
Crystal Gate|5 Wind Essence|20 Water Essence|Tidal Gate
Crystal Gate|5 Wind Essence|20 Water Essence|Atomic Gate
Asteroid|5 Water Essence|20 Earth Essence|Earth Asteroid
Asteroid|5 Earth Essence|20 Fire Essence|Fire Asteroid
Asteroid|5 Fire Essence|20 Wind Essence|Wind Asteroid
Asteroid|5 Wind Essence|20 Water Essence|Water Asteroid
4 Verdant Gate|5 Earth Essence|100 Ancient Plant Seed|Crystallized Reality
4 Inferno Gate|5 Fire Essence|200 Sorcerer Stone|Crystallized Wealth
4 Typhoon Gate|5 Wind Essence|200 Chandelier|Crystallized Brilliance
4 Tidal Gate|5 Water Essence|30 Crystal Tree|Crystallized Nature
4 Atomic Gate|5 Fire Essence|200 Hour Glass|Crystallized Time
2 Earth Asteroid|2 Water Asteroid|5 Earth Essence|Ancient Bracket
2 Fire Asteroid|2 Wind Asteroid|5 Fire Essence|Ancient Hinge
2 Wind Asteroid|2 Earth Asteroid|5 Wind Essence|Ancient Lens
2 Water Asteroid|2 Fire Asteroid|5 Water Essence|Ancient Pin
Ancestor Mooncake|50 Silver Idol|75 Ghost-In-A-Jar|Ancient Altar
Crystallized Reality|2 Ancient Bracket|5 Ancient Pin|Ancestral Tesseract of Dimensions
Crystallized Wealth|2 Ancient Pin|5 Ancient Hinge|Ancestral Lens of Riches
Crystallized Nature|2 Ancient Lens|5 Ancient Bracket|Ancestral Seed of Life
Crystallized Brilliance|2 Ancient Hinge|5 Ancient Lens|Ancestral Totem of Wisdom
Crystallized Time|2 Ancient Lens|5 Ancient Pin|Ancestral Orb of Time
Transmog Crystal|Lava|20 Super Crate Box|Lava Cube
Transmog Crystal|Cow|20 Brown Block|Buffalo
Transmog Crystal|Death Spikes|20 Steam Tubes|Steam Spikes
Afro|Dungeon Door Seed|Shifting Scroll on a Leaf Block. Can only be made at 00:00 Growtopia time|Cryptic Scroll
Doodad|Doohickey|Whatchamacallit|Legen Seed
Kerjigger|Thingamajig|Thingamabob|Dary Seed
Transmog Crystal|Paintbrush|20 Art Wall|Painting Easel
Transmog Crystal|Diamond Lock|20 Robot Wants Dubstep|Robotic Lock
10 Unearthly Chemical|10 Synthetic Chemical|10 Mysterious Chemical|Untrade-a-Box
10 Unearthly Chemical|10 Radioactive Chemical|10 Synthetic Chemical|Tomb Robber
Transmog Crystal|Challenge Timer|20 Race Start Flag|Challenge Start Flag
Transmog Crystal|Challenge Timer|20 Race End Flag|Challenge End Flag
200 Radioactive Chemical|200 Haunted Chemical|200 Unearthly Chemical|Xenonite Crystal
Mysterious Chemical|5 Radioactive Chemical|50 Haunted Chemical|Containment Field Power Node
Transmog Crystal|Robotic Lock|20 Crystal Block|Diamond Lock
Transmog Crystal|Retro Magnifying Glass|20 Time-Space Rupture|Magnifying Glass
Transmog Crystal|Dominatus Moderateus|20 Purple Block|Cultist Hood
Transmog Crystal|Growch Cultist Robe|20 Candy Corn|Cultist Robe
Transmog Crystal|Inside-Out Devil Wings|20 Outie Block|Devil Wings
Transmog Crystal|Ice Dragon Hand|20 Lava|Dragon Hand
Transmog Crystal|Surfboard - Flame|20 Game Blocks|Surfboard
Transmog Crystal|Surfboard - Wave|20 Game Blocks|Surfboard
Transmog Crystal|Surfboard - Electric Green|20 Game Blocks|Surfboard
Transmog Crystal|Tiny Appaloosa|20 Brown Block|Tiny Horsie
Transmog Crystal|Avenie Golden Horse|20 Skeleton|Skeletal Horsie
Transmog Crystal|Elf Hat|20 Red Block|Santa Hat
Transmog Crystal|Spiritfire Mask|20 Brainwave Capacitor|Spiritual Resonator
Neon Voodoo Mask - Electric Blue|10 Paint Bucket - Varnish|20 Shampoo|Neon Voodoo Mask - Pure White
Neon Voodoo Mask - Plasma Green|10 Paint Bucket - Varnish|20 Shampoo|Neon Voodoo Mask - Pure White
Neon Voodoo Mask - Shocking Pink|10 Paint Bucket - Varnish|20 Shampoo|Neon Voodoo Mask - Pure White
Neon Voodoo Mask - Pure White|10 Paint Bucket - Blue|20 Blue Hair Dye|Neon Voodoo Mask - Electric Blue
Neon Voodoo Mask - Pure White|10 Paint Bucket - Green|20 Green Hair Dye|Neon Voodoo Mask - Plasma Green
Neon Voodoo Mask - Pure White|10 Paint Bucket - Purple|20 Red Hair Dye|Shocking Pink
Transmog Crystal a Buffalo|20 White Block|Cow
Transmog Crystal|Growboard|20 Blue Star Wallpaper|StarBoard
Transmog Crystal|Astronaut Helmet|20 Astronaut Pack|Space Helmet
Transmog Crystal|Magic Reindeer Bell|20 Buckskin Hood|Reindeer Bell
Transmog Crystal|Cowboy Boots|20 Black Block|Boots
Transmog Crystal|Blue Sun Shirt|20 Orange Block|Happy Sun Shirt
Transmog Crystal|Emerald Staff|20 Orange Block|Wizard's Staff
Bountiful Flowering Lattice Root Cutting|Bountiful White Doll's Eyes Root Cutting|Grow Spray Fertilizer|Bountiful Climbing Hydrangea Lattice Seed
Bountiful Bamboo Background Root Cutting|Bountiful Jungle Temple Root Cutting|Grow Spray Fertilizer|Bountiful Jungle Temple Background Seed
Bountiful Bamboo Background Root Cutting|Bountiful Flowering Lattice Root Cutting|Grow Spray Fertilizer|Bountiful Bamboo Platform Seed
Bountiful White Doll's Eyes Root Cutting|1 Bountiful Jungle Temple Root Cutting|Grow Spray Fertilizer|Bountiful Monkshood Seed
Bountiful Climbing Hydrangea Lattice Root Cutting|Bountiful Bamboo Platform Root Cutting|Grow Spray Fertilizer|Bountiful Flowering Garland Seed
Bountiful Climbing Hydrangea Lattice Root Cutting|Bountiful Jungle Temple Background Root Cutting|Grow Spray Fertilizer|Bountiful Jungle Temple Door Seed
Bountiful Jungle Temple Background Root Cutting|Bountiful Bamboo Platform Root Cutting|Grow Spray Fertilizer|Bountiful Bamboo Ladder Seed
Bountiful White Doll's Eyes Root Cutting|Bountiful Monkshood Root Cutting|Grow Spray Fertilizer|Bountiful Corpse Flower Seed
Bountiful Flowering Garland Root Cutting|Bountiful Bamboo Ladder Root Cutting|Grow Spray Fertilizer|Bountiful Lattice Fence Seed
Bountiful Jungle Temple Door Root Cutting|Bountiful Monkshood Root Cutting|Grow Spray Fertilizer|Bountiful Jungle Temple Pillar Seed
Bountiful Bamboo Background Root Cutting|Bountiful Bamboo Ladder Root Cutting|Grow Spray Fertilizer|Bountiful Bamboo Spikes Seed
Bountiful Corpse Flower Root Cutting|Bountiful Flowering Garland Root Cutting|Grow Spray Fertilizer|Bountiful Growtopian-Eating Looming Plant Seed
5 Bountiful Flowering Lattice Root Cuttings|2 Bountiful Bamboo Spikes Root Cuttings|4 Bountiful Bamboo Platform Root Cuttings|Bamboo Pipe
4 Bountiful Climbing Hydrangea Lattice Root Cuttings|2 Bountiful Lattice Fence Root Cuttings|5 Bountiful Flowering Lattice Root Cuttings|Lattice Dress
5 Bountiful Jungle Temple Root Cuttings|3 Bountiful Corpse Flower Root Cuttings|2 Bountiful Jungle Temple Pillar Root Cuttings|Temple Robes
2 Bountiful Jungle Temple Pillar Root Cuttings|2 Bountiful Growtopian-Eating Looming Plants|5 Bountiful Jungle Temple Root Cuttings|Serpent Headdress
5 Bountiful Bamboo Background Root Cuttings|3 Bountiful Flowering Garland Root Cuttings|4 Bountiful Monkshood Root Cuttings|Flower Headband
3 Bountiful Corpse Flower Root Cuttings|4 Bountiful Jungle Temple Background Root Cuttings|5 Bountiful White Doll's Eyes Root Cuttings|Porcelain Doll's Head
4 Bountiful Monkshood Root Cuttings|4 Bountiful Jungle Temple Background Root Cuttings|2 Bountiful Growtopian-Eating Looming Plant Root Cuttings|Monk's Hood
4 Bountiful Bamboo Platform Root Cuttings|3 Bountiful Jungle Temple Door Root Cuttings|3 Bountiful Bamboo Ladder Root Cuttings|Bamboo Armor
3 Bountiful Jungle Temple Door Root Cuttings|2 Bountiful Bamboo Spikes Root Cuttings|2 Bountiful Growtopian-Eating Looming Plant Root Cuttings|Obsidian Axe
3 Bountiful Bamboo Ladder Root Cuttings|2 Bountiful Bamboo Spikes Root Cuttings|2 Bountiful Lattice Fence Root Cuttings|Bamboo Sword
20 Bountiful Growtopian-Eating Looming Plant Root Cuttings|20 Bountiful Lattice Fence Root Cuttings|20 Bountiful Bamboo Spikes Root Cuttings|Samurai's Kabuto
25 Bountiful Bamboo Ladder Root Cuttings|25 Bountiful Jungle Temple Door Root Cuttings|20 Bountiful Jungle Temple Pillar Root Cuttings|Samurai's Do Armor
20 Bountiful Jungle Temple Pillar Root Cuttings|30 Bountiful Bamboo Platform Root Cuttings|20 Bountiful Lattice Fence Root Cuttings|Samurai's Suneate & Leggings
30 Bountiful Bamboo Background Root Cuttings|30 Bountiful Climbing Hydrangea Lattice Root Cuttings|25 Bountiful Bamboo Ladder Root Cuttings|Samurai's Waraji
Stretched Canvas|20 Bountiful Growtopian-Eating Looming Plant Root Cutting|100 Decorative Paper Walls|Brutal Hand Fans
80's Tape Deck|2 Mega Rock Speakers|4 D Batterys|Party Blaster
Reanimator Remote|Spare Body|200 Limb Connectors|Living Dead Remote
Party Style Scarf|Party Bunting|Transmog Crystal|Ultra Party Glow Scarf
Party Style Top Hat|Party Hat|Glowstick|Ultra Party Glow Top Hat
Party Style Shades|Party Glasses|Transmog Crystal|Ultra Party Glow Shades
Party Light Wave Vest|Party Vest|Transmog Crystal|Ultra Party Light Wave Vest
Equalizer Tee|10 Party Tuness|5 Tempered Party Tunes|Ultra Equalizer Tee
3 Mega Rock Speakers|10 Party Tunes|5 Tempered Party Tunes|Megawatt Bass Speaker
Stone Egg|Raver Hoodie|20 Rave Stage|Euphoric Dragon Egg
Stretched Canvas|20 Bountiful Growtopian-Eating Looming Plant Root Cutting|100 Decorative Paper Walls|Brutal Hand Fans
100 Terracotta Pots|5 Red Coin Wallpapers|50 Statue Blocks|Terracotta Growtopian
5 Lovewillow's Laces|Table Lamp|Golden Block|Lovely Dinner Light
Charmer Smile|Muscle Suit|200 Steel Blocks|Beefy Biceps
Medical Scarf|Mutated Virus|Grey Cat As A Hat|Snuggly Kitty Scarf
50 Heartstone Blocks|Winter Freezer Teddy Mask|200 Candy Hearts|Pink Teddy Mask
50 Heartstone Blocks|Ultra Winter Freezer Teddy Suit|200 Candy Hearts|Pink Teddy Suit
Golden Heart Crystal|Heart Glasses|200 Candy Hearts|Golden Heart Glasses
Golden Heart Crystal|Ruby Necklace|200 Candy Hearts|Golden Diamond Necklace
Golden Heart Crystal|Heartbow|200 Candy Hearts|Golden Heartbow
Golden Heart Crystal|Angel Wings|200 Candy Hearts|Golden Angel Wings
Golden Heart Crystal|Diaper|200 Candy Hearts|Golden Diaper
Golden Heart Crystal|Love Bug|200 Candy Hearts|Golden Love Bug
Golden Heart Crystal|Pegasus|200 Candy Hearts|Golden Pegasus
Golden Heart Crystal|Air Robinsons|200 Candy Hearts|Golden Air Robinsons
Golden Heart Crystal|Heartbreaker Hammer|200 Candy Hearts|Heavenly Scythe
Golden Heart Crystal|Teeny Angel Wings|200 Candy Hearts|Teeny Golden Wings
Golden Heart Crystal|Heart Shirt|200 Candy Hearts|Golden Heart Shirt
Golden Heart Crystal|Talaria|200 Candy Hearts|Golden Talaria
Golden Heart Crystal|Heartstaff|200 Candy Hearts|Golden Heartstaff
Golden Heart Crystal|Heartsword|200 Candy Hearts|Golden Heartsword
Golden Heart Crystal|Heartthrob Helm|200 Candy Hearts|Golden Heartthrob Helm
Golden Heart Crystal|Cloud Nine Cape|200 Candy Hearts|Golden Sunset Cape
Golden Heart Crystal|Datemaster's Bling|Datemaster's Rose|Datemaster's Heart Locket
Golden Heart Crystal|Heartstaff|Heartsword|Stained Glass Heartwings
Golden Heart Crystal|Silk Scarf|200 Candy Hearts|Golden Silk Scarf
Golden Heart Crystal|Loving Halo|200 Candy Hearts|Golden Heart Aura
Cobra Statuette|2 Yellow Diamonds|10 Lucky Clover|Serpent Staff
Potato|2 Fish Chunks|3 Wheat|Fish And Chips
Frosty Wings|10 Emerald Shards|15 Lucky Clovers|Shamrock Wings
2 Emerald Shard|10 Lazy Cobras|2 Potato Couchs|King Cobra Chair
Cloverleaf|10 Bouncy Balloons|5 Moss-Covered Stones|Shamrock Bouncing Buddy
Lucky Clover|10 Green Beers|5 Fountains|Green Fountain
Leprechaun Hat|Green Pants|5 Lucky Clovers|Golden Leprechaun Hat
Leprechaun Suit|Leprechaun Shoes|5 Lucky Clovers|Golden Leprechaun Suit
5 Field Grass|50 Window Curtains|10 Celtic Blocks|Green Curtains
Easter Egg - Striped|Easter Egg - Jagged|Easter Egg - Polka Dots|Pastel Pink Wallpaper
Easter Egg - Striped|Easter Egg - Polka Dots|Easter Egg - Checkered|Pastel Yellow Wallpaper
Easter Egg - Striped|Easter Egg - Jagged|Easter Egg - Wavey|Pastel Green Wallpaper
Easter Egg - Striped|Easter Egg - Polka Dots|Easter Egg - Wavey|Pastel Orange Wallpaper
Easter Egg - Striped|Easter Egg - Jagged|Easter Egg - Checkered|Pastel Aqua Wallpaper
Easter Egg - Striped|Easter Egg - Wavey|Easter Egg - Checkered|Pastel Blue Wallpaper
Easter Egg - Jagged|Easter Egg - Polka Dots|Easter Egg - Wavey|Pastel Purple Wallpaper
Easter Egg - Polka Dots|Easter Egg - Wavey|Easter Egg - Checkered|Happy Flower Grass
Easter Egg - Polka Dots|Easter Egg - Jagged|Easter Egg - Checkered|Bouncy Bunny
10 Easter Egg - Rainbow|10 Easter Egg - Wavey|10 Easter Egg - Checkered|Baby Bunny
Easter Egg - Wavey|Easter Egg - Jagged|Easter Egg - Checkered|Chocolate Block
Easter Egg - Rainbow|Easter Egg - Jagged|Easter Egg - Polka Dots|Marshmallow Basket
Easter Egg - Rainbow|Easter Egg - Jagged|Easter Egg - Striped|Egghead
5 Easter Egg - Darks|Easter Egg - Jagged|Easter Egg - Wavey|Cursed Jet Engine
Easter Egg - Rainbow|Easter Egg - Striped|Easter Egg - Checkered|Spring Bouquet
Easter Egg - Rainbow|Easter Egg - Polka Dots|Easter Egg - Striped|Weather Machine - Spring
Easter Egg - Polka Dots|10 Easter Egg - Rainbow|10 Easter Egg - Checkered|Brainflower
Easter Egg - Rainbow|Easter Egg - Striped|Easter Egg - Wavey|Cranial Lagomorph
10 Easter Egg - Rainbow|10 Easter Egg - Jagged|10 Easter Egg - Checkered|Mini Mallard
Easter Egg - Rainbow|Easter Egg - Wavey|Easter Egg - Polka Dots|Bunny Slippers
Stone Egg|Bunny Toy|200 Lavas|Easter Egg
Easter Egg - Wavey|Easter Egg - Growtopia|Easter Egg - Dark|Basket Chair
Easter Egg - Wavey|Easter Egg - Growtopia|Easter Egg - Ghost|Egg Wreath
10 Easter Egg - Darks|10 Easter Egg - Pineapples|10 Easter Egg - Polka Dotss|Egg Ammo Belt
Easter Egg - Rainbow|10 Easter Egg - Jaggeds|10 Easter Egg - Darks|Nest Hat
50 Golden Egg Shard - Bottom|20 Golden Egg Shard - Middle|Golden Egg Shard - Top|Easter Egg - Golden
Easter Egg - Golden|5 Easter Egg - Ghosts|5 Easter Egg - Pineapples|Bloom Aura
Easter Egg - Golden|Easter Egg - Rainbow|10 Easter Egg - Darks|Bunny Ear Magnifying Glass
Easter Egg - Golden|Easter Egg - Wooly|Easter Egg - Growtopia|Home Made Butter Lamb
Easter Egg - Golden|200 Easter Egg - Wooly|10 Sheeps|Lil Growpeep's Baaaa Blaster
50 Easter Egg - Wooly|10 Bunny Ears|10 Bunny Masks|Sheep Hood
50 Easter Egg - Wooly|10 Pastel Suits|10 Pastel Pants|Sheep Onesie
Fiesta Sombrero|Pet Burrito|200 Party Cactus|Riding Fiesta Burrito
Tambourine|Bass Guitar|Keytar|Saxamaphone
Fiesta Sombrero|Riding Axolotl|200 Party Cactus|Riding Fiesta Axolotl
Commercial Oven|5 Avocados|25 Festive Banners|Taco Truck Oven
Dirt|Lava|12 Pinata Whistles|Lava Pinata
Super Pineapple|Mysterious Chemical|20 Uranium Blocks|Super Exploding Pineapple
2 Pineapple Engine Parts|4 Pineapple Wheels|10 Pineapple Platings|Pine-ch Buggy
Dangerous Pineapple Root Cutting|Super Pineapple Root Cutting|70 Pineapple Root Cuttings|Pineapple Gift Box
3 Super Pineapple|3 Dangerous Pineapple|100 Pineapples|Pineapple Guzzler
5 High Tech Blocks|5 Pineapples|Dangerous Pineapple|Super Pineapple Time Warp Device
50 Pineapple Pizza Slices|200 Pineapple Root Cutting|Pineapple Spear|Giant Pineapple Pizza Paddle
Transmog Crystal|Surfboard|20 Sun Blocks|Surfboard - Flame
Transmog Crystal|Surfboard|20 Squirt Guns|Surfboard - Wave
Transmog Crystal|Surfboard|20 Sandcastles|Surfboard - Electric Green
Kerjigger|Doodad|10 Atomic Fireball|Weather Machine - Heatwave
Flaming Feathers|Cobra Statuette|2 Dragon Hands|Danieldd's Chimera Wings
50 Sun Blocks|200 Pastel Pink Blocks|150 Heartcastle Stones|Flamingo Wings
1 Ultra White Fragment|30 Ultra Blue Neptune Fragment|30 Ultra Red Phoenix Fragment|Ultraviolet Aura
5 Summer Surprise|10 Sand|100 Fireworks|Summer Artifact Chest
Cultist Hood|20 White Blocks|Transmog Crystal|Dominatus Moderateus
Spiritual Resonator|20 Flaming Skull Mask|Transmog Crystal|Spiritfire Mask
StarBoard|20 Flamethrower|Transmog Crystal|Growboard
Diamond Lock|20 Robot Wants Dubsteps|Transmog Crystal|Robotic Lock
Seaweed|3 Eggs|10 Rice|Tamago Sushi
200 Mysterious Chemicals|20 Synthetic Chemicals|200 Radioactive Chemicals|Burning Hands
100 Emerald Shards|2 Grip Tapes|Steel Axe Handle|Emerald Pickaxe
Spiked Collar|20 Limb Connectors|20 Flaming Horse Chunks|Flaming Horsie
5 Black Espadrilles|5 Air Robinsons|2 Heroic Boots - Black|Black Shoes
20 Bountiful Growtopian-Eating Looming Plant Root Cuttings|20 Bountiful Lattice Fence Root Cuttings|20 Bountiful Bamboo Spikes Root Cuttings|Samurai's Kabuto
25 Bountiful Bamboo Ladder Root Cuttings|25 Bountiful Jungle Temple Door Root Cuttings|20 Bountiful Jungle Temple Pillar Root Cuttings|Samurai's Do Armor
20 Bountiful Jungle Temple Pillar Root Cuttings|30 Bountiful Bamboo Platform Root Cuttings|20 Bountiful Lattice Fence Root Cuttings|Samurai's Suneate & Leggings
30 Bountiful Bamboo Background Root Cuttings|30 Bountiful Climbing Hydrangea Lattice Root Cuttings|25 Bountiful Bamboo Ladder Root Cuttings|Samurai's Waraji
Electric Bow|10 Eldritch Flames|100 Death Spikes|Eldritch Crossbow
VIP Entrance|25 Blue|Black Tuxedos|Friends Entrance
Party Blaster|Grip Tape|Magic Infused Blade|Sonic Buster Katana
Portrait|2 Jade Blocks|100 Golden Blocks|Posh Portrait
Dried Leaf Crown|200 Leaf Blocks|200 Climbing Vines|Green Leaf Crown
Emerald Block|Turkey Feather|Pineapple Coronet|Indonesian Headdress
4 Longevity Mooncake|4 Prosperity Mooncake|6 Balance Mooncake|Songpyeon
20 Songpyeon|20 Prosperity Mooncake|20 Longevity Mooncake|Ultra Grow Spray
2 Songpyeon|4 Longevity Mooncake|4 Harmony Mooncake|Hand Scythe
3 Prosperity Mooncake|3 Longevity Mooncake|3 Peace Mooncake|Harvest Festival Clothes
5 Harmony Mooncake|5 Longevity Mooncake|5 Peace Mooncake|Scarecrow
2 Harmony Mooncake|2 Prosperity Mooncake|2 Peace Mooncake|Sky Lantern
10 Songpyeon|20 Harmony Mooncake|20 Longevity Mooncake|Harvest Moon Blast
Balance Mooncake|Peace Mooncake|Prosperity Mooncake|Chinese Lantern
2 Balance Mooncake|7 Longevity Mooncake|7 Prosperity Mooncake|Autumn Bomb
40 Songpyeon|50 Balance Mooncake|200 Prosperity Mooncake|Autumn Wings
20 Songpyeon|20 Balance Mooncake|20 Longevity Mooncake|Zeus' Lightning Bolt
20 Songpyeon|20 Peace Mooncake|20 Prosperity Mooncake|Diamond Flashaxe
